user_id,user_name,contact,password,wallet
101,RAHUL,9923456710,qwerty,0
102,AMAN,9945347895,uiopt,3654
103,AANCHAL,9912345123,asdfg,12
104,ABHISHEK,9877663214,hjklq,7645
105,AVINASH,9087545676,zxcvb,845
106,ARJUN,9976767654,nmbvc,543
107,VIKAS,9845342334,wdvgf,98
108,SARTHAK,9898766756,thung,101
109,SARTHAK S,9756397517,ujhfd,343
110,VAISHNAVI,9998574899,uiopd,6542
111,JOBEL JOHNSON,9876543210,edcft,9067
112,RAM,9998979656,rfbgh,5748
113,ANU,9876678976,ihhvh,1967
114,UDAY,9998233443,mdjhs,785
115,UTKARSH,9013280814,xmnvj,345
